Keyword,Reason,Analysis,AU,BR,CA,DE,ES,EU,FR,IT,JP,MX,NL,SE,UAE,UK,US
cataract,Diseases - analyze to see if this is a claim,The keyword 'cataract' is flagged to prevent unverified medical claims. It is important to avoid suggesting treatments or cures for cataracts without scientific backing.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cataracts,Analyze for claims - don't claim to get rid of or heal cataracts,"Similar to 'cataract,' this keyword is flagged to ensure that no false claims are made about curing or treating cataracts, which could mislead consumers.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Catechol,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","Catechol is flagged due to its listing under California Proposition 65, which requires businesses to provide warnings about significant exposures to chemicals that cause cancer, birth defects, or other reproductive harm. Additionally, it is a restricted ingredient in the EU, indicating regulatory concerns about its safety or environmental impact.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Catha edulis,Restricted Ingredient,"Catha edulis is flagged as a restricted ingredient, likely due to its psychoactive properties. It contains cathinone, a stimulant that is regulated in many countries due to its potential for abuse and health risks.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cathine,Restricted Ingredient,"Cathine is flagged as a restricted ingredient because it is a stimulant found in Catha edulis. It is regulated due to its potential for abuse and health risks, similar to other amphetamine-like substances.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cathinone and its analogues,Restricted Ingredient,Cathinone and its analogues are flagged as restricted ingredients due to their psychoactive effects and potential for abuse. They are often regulated under drug control laws in many countries.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Caution,Prohibited Supplement Products,The term 'Caution' is flagged as it is associated with prohibited supplement products. This suggests that products labeled with 'Caution' may contain ingredients or claims that are not compliant with regulatory standards.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
CBD,"Prohibited Ingredient - Anything with CBD or Rich Hemp or Hemp Extract - All marketplaces - Only prohibited in Dietary Supplements on Walmart, cosmetics are okay","CBD is flagged as a prohibited ingredient in dietary supplements on certain platforms like Walmart, although it is allowed in cosmetics. This reflects ongoing regulatory scrutiny and varying acceptance of CBD across different product categories and marketplaces.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
CCHF,CDC Diseases - analyze to see if this is a claim,"CCHF (Crimean-Congo Hemorrhagic Fever) is flagged as it is a disease monitored by the CDC. The keyword is analyzed to ensure it is not used in misleading claims about treatment or prevention, which could violate health regulations.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
CCNU,"California Proposition 65 - if offering in the US, be sure to include proper indications (provided by the manufacturer) in the master file, if in other marketplace, look at local regulations","CCNU is flagged due to its association with California Proposition 65, which requires businesses to provide warnings about significant exposures to chemicals that cause cancer, birth defects, or other reproductive harm. Additionally, it is a restricted ingredient in the EU, indicating that it may have limitations or bans on its use in certain products.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cedax,Prescription Antibiotics cannot be sold,"Cedax is flagged because it is a prescription antibiotic, which cannot be sold without proper authorization. This restriction is in place to prevent misuse and ensure that antibiotics are used responsibly under medical supervision.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefacetrile,Prescription Antibiotics cannot be sold,"Cefacetrile is flagged as it is a prescription antibiotic, and selling it without a prescription is prohibited. This measure is crucial to combat antibiotic resistance and ensure safe usage.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
"Cefacetrile (cephacetrile)/Celospor, Celtol, Cristacef",Prescription Antibiotics cannot be sold,"These are all variations or brand names of the antibiotic Cefacetrile, which is restricted from sale without a prescription. This restriction is consistent across all regions to ensure antibiotics are used appropriately.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefaclomezine,Prescription Antibiotics cannot be sold,"Cefaclomezine is flagged as a prescription antibiotic, indicating that it cannot be sold without proper medical authorization. This is a standard regulation to prevent antibiotic misuse.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefaclor,Prescription Antibiotics cannot be sold,"Cefaclor is flagged because it is a prescription antibiotic, and its sale is restricted to prevent misuse and ensure it is used under medical guidance.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefadroxil,Prescription Antibiotics cannot be sold,"Cefadroxil is a first-generation cephalosporin antibiotic used to treat bacterial infections. It is flagged because it is a prescription medication, and selling it without a prescription is prohibited in many regions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefadyl,Prescription Antibiotics cannot be sold,"Cefadyl, also known as cephapirin, is an antibiotic used in veterinary medicine. It is flagged due to its prescription-only status, preventing unauthorized sales.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefalexin,Prescription Antibiotics cannot be sold,"Cefalexin is a widely used antibiotic for treating infections. It is flagged because it requires a prescription, ensuring it is used under medical supervision.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefaloglycin,Prescription Antibiotics cannot be sold,"Cefaloglycin is a cephalosporin antibiotic. It is flagged as it is a prescription-only medication, restricting its sale to prevent misuse.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefaloglycin/Cephaloglycinc,Prescription Antibiotics cannot be sold,"This keyword refers to the same antibiotic, cefaloglycin, under different spellings. It is flagged for the same reasons as cefaloglycin, due to its prescription-only status.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefalonium,Prescription Antibiotics cannot be sold,"Cefalonium is an antibiotic used in veterinary medicine, particularly for mastitis in cattle. It is flagged because it is a prescription drug, limiting its sale to authorized channels.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefalonium/Cephalonium,Prescription Antibiotics cannot be sold,"These are alternative spellings for the same veterinary antibiotic. Both are flagged due to their prescription-only status, ensuring controlled distribution.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefaloram,Prescription Antibiotics cannot be sold,"Cefaloram is a cephalosporin antibiotic. It is flagged because it is a prescription medication, and unauthorized sales are prohibited to prevent misuse.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefaloridine,Prescription Antibiotics cannot be sold,"Cefaloridine is an antibiotic that has been largely replaced by newer drugs. It is flagged due to its prescription-only status, ensuring it is used appropriately.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefaloridine/Cephaloradine,Prescription Antibiotics cannot be sold,"These are alternative spellings for the same antibiotic. Both are flagged due to their prescription-only status, restricting their sale to prevent unauthorized use.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefalotin,Prescription Antibiotics cannot be sold,"Cefalotin is a first-generation cephalosporin antibiotic. It is flagged because it is a prescription-only medication, and selling it without a prescription is prohibited in all regions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefalotin/Cephalothin,Prescription Antibiotics cannot be sold,"Cephalothin is another name for Cefalotin. It is flagged for the same reason as Cefalotin, being a prescription-only antibiotic that cannot be sold freely.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefamandole,Prescription Antibiotics cannot be sold,"Cefamandole is a second-generation cephalosporin antibiotic. It is flagged due to its prescription-only status, prohibiting its sale without proper authorization.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefaparole,Prescription Antibiotics cannot be sold,"Cefaparole is a cephalosporin antibiotic. Like other antibiotics in this list, it requires a prescription for legal sale, hence the flagging.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefapirin,Prescription Antibiotics cannot be sold,"Cefapirin is a first-generation cephalosporin antibiotic. It is flagged because it is a prescription medication, and selling it without a prescription is not allowed.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefapirin/Cefadyl,Prescription Antibiotics cannot be sold,"Cefadyl is a brand name for Cefapirin. It is flagged for the same reason as Cefapirin, requiring a prescription for legal sale.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefatrizine,Prescription Antibiotics cannot be sold,"Cefatrizine is a cephalosporin antibiotic. It is flagged due to its status as a prescription-only medication, prohibiting its sale without a prescription.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefazaflur,Prescription Antibiotics cannot be sold,"Cefazaflur is a cephalosporin antibiotic. It is flagged because it is a prescription medication, and selling it without a prescription is not permitted.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefazedone,Prescription Antibiotics cannot be sold,"Cefazedone is a cephalosporin antibiotic. It is flagged due to its prescription-only status, prohibiting its sale without proper authorization.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefazolin,Prescription Antibiotics cannot be sold,"Cefazolin is a first-generation cephalosporin antibiotic. It is flagged because it is a prescription-only medication, and selling it without a prescription is prohibited.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
"Cefazolin/Ancef, Kefzol",Prescription Antibiotics cannot be sold,"Cefazolin, marketed under the brand names Ancef and Kefzol, is a prescription antibiotic used to treat bacterial infections. It is flagged because prescription antibiotics cannot be sold without a valid prescription, ensuring proper medical supervision and preventing misuse.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefcanel,Prescription Antibiotics cannot be sold,Cefcanel is a prescription antibiotic. The keyword is flagged because antibiotics require a prescription to ensure they are used appropriately and to prevent antibiotic resistance.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefcapene,Prescription Antibiotics cannot be sold,"Cefcapene is an antibiotic that requires a prescription. It is flagged to prevent unauthorized sales, ensuring that it is used under medical guidance to treat infections effectively.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefclidine,Prescription Antibiotics cannot be sold,"Cefclidine is a prescription antibiotic. The keyword is flagged to prevent its sale without a prescription, which is crucial for maintaining public health and preventing antibiotic misuse.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefdaloxime,Prescription Antibiotics cannot be sold,"Cefdaloxime is an antibiotic that requires a prescription. It is flagged to ensure it is dispensed only with proper medical oversight, preventing self-medication and potential health risks.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefdiel,Prescription Antibiotics cannot be sold,"Cefdiel is a prescription antibiotic. The keyword is flagged to prevent its sale without a prescription, ensuring it is used safely and effectively under medical supervision.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefdinirz,Prescription Antibiotics cannot be sold,"Cefdinirz, a variant of Cefdinir, is a prescription antibiotic. It is flagged to prevent unauthorized sales, ensuring it is used correctly to treat infections and reduce the risk of resistance.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
"Cefdinirz/Omnicef, Cefdiel",Prescription Antibiotics cannot be sold,"Cefdinirz, marketed as Omnicef, and Cefdiel are prescription antibiotics. They are flagged to prevent their sale without a prescription, ensuring they are used appropriately under medical guidance.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefditoren,Prescription Antibiotics cannot be sold,Cefditoren is a prescription antibiotic. The repeated flagging emphasizes the importance of ensuring it is dispensed only with a prescription to prevent misuse and resistance.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefditoren,Prescription Antibiotics cannot be sold,Cefditoren is a prescription antibiotic. The repeated flagging emphasizes the importance of ensuring it is dispensed only with a prescription to prevent misuse and resistance.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefedrolor,Prescription Antibiotics cannot be sold,"Cefedrolor is flagged because it is a prescription antibiotic, which cannot be sold without a prescription. This restriction applies universally, as indicated by the 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefempidone,Prescription Antibiotics cannot be sold,"Cefempidone is flagged for the same reason as other antibiotics on this list. It is a prescription medication, and selling it without a prescription is prohibited globally.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefepime,Prescription Antibiotics cannot be sold,"Cefepime is a prescription antibiotic, and its sale is restricted to prevent misuse and antibiotic resistance. This restriction is applicable in all regions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefepime/Maxipime,Prescription Antibiotics cannot be sold,"Cefepime, also known as Maxipime, is a prescription-only antibiotic. The sale of this medication is controlled to ensure it is used appropriately under medical supervision.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefetamet,Prescription Antibiotics cannot be sold,Cefetamet is another antibiotic that requires a prescription for sale. This measure is in place to ensure safe and effective use of antibiotics.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefetrizole,Prescription Antibiotics cannot be sold,Cefetrizole is flagged due to its status as a prescription antibiotic. Selling it without a prescription is not allowed to prevent potential health risks.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefivitril,Prescription Antibiotics cannot be sold,"Cefivitril is a prescription antibiotic, and its sale is restricted to ensure it is used correctly and to combat antibiotic resistance.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefixime,Prescription Antibiotics cannot be sold,Cefixime is a commonly used antibiotic that requires a prescription. Its sale is controlled to ensure it is used safely and effectively.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefixime/Suprax,Prescription Antibiotics cannot be sold,"Cefixime, marketed as Suprax, is a prescription antibiotic. Its sale is restricted to prevent misuse and ensure it is used under medical guidance.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefizox,Prescription Antibiotics cannot be sold,Cefizox is flagged because it is a prescription antibiotic. The sale of this medication is controlled to ensure it is used appropriately and safely.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefluprenam,Prescription Antibiotics cannot be sold,"Cefluprenam is flagged because it is a prescription antibiotic, which cannot be sold without proper authorization. This restriction applies universally, as indicated by the 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefmatilen,Prescription Antibiotics cannot be sold,"Cefmatilen is a prescription antibiotic, and its sale is restricted to prevent misuse and ensure it is only used under medical supervision. This restriction is applicable globally.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefmax,Prescription Antibiotics cannot be sold,"Cefmax, like other prescription antibiotics, is restricted from sale to ensure it is used appropriately and only with a prescription. This is a universal restriction.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefmenoxime,Prescription Antibiotics cannot be sold,"Cefmenoxime is flagged due to its classification as a prescription antibiotic, which cannot be sold without a prescription to prevent misuse. This restriction is applicable worldwide.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefmenoxime/Cefmax,Prescription Antibiotics cannot be sold,"The combination of Cefmenoxime and Cefmax is flagged because both are prescription antibiotics, and their sale is restricted globally to ensure proper medical oversight.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefmepidium,Prescription Antibiotics cannot be sold,"Cefmepidium is a prescription antibiotic, and its sale is restricted to prevent misuse and ensure it is dispensed only with a prescription. This restriction applies universally.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefmetazole,Prescription Antibiotics cannot be sold,"Cefmetazole is flagged as it is a prescription antibiotic, which cannot be sold without a prescription to ensure safe and appropriate use. This restriction is global.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefobid,Prescription Antibiotics cannot be sold,"Cefobid is a prescription antibiotic, and its sale is restricted to prevent misuse and ensure it is used under medical supervision. This restriction is applicable worldwide.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefodizime,Prescription Antibiotics cannot be sold,"Cefodizime is flagged because it is a prescription antibiotic, which cannot be sold without proper authorization to ensure safe use. This restriction applies universally.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefonicid,Prescription Antibiotics cannot be sold,"Cefonicid is a prescription antibiotic, and its sale is restricted to ensure it is used appropriately and only with a prescription. This restriction is global.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefonicid/Monocid,Prescription Antibiotics cannot be sold,"Cefonicid, marketed under the brand name Monocid, is a prescription antibiotic. The keyword is flagged because prescription antibiotics are regulated and cannot be sold without a prescription. This restriction applies globally, as indicated by the 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefoperazone,Prescription Antibiotics cannot be sold,"Cefoperazone is a prescription antibiotic used to treat bacterial infections. It is flagged because selling prescription antibiotics without proper authorization is prohibited worldwide, as denoted by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefoperazone/Cefobid,Prescription Antibiotics cannot be sold,"Cefoperazone, also known by the brand name Cefobid, is a prescription antibiotic. The keyword is flagged due to the global restriction on selling prescription antibiotics without a prescription, as indicated by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefoselis,Prescription Antibiotics cannot be sold,"Cefoselis is a prescription antibiotic. It is flagged because selling prescription antibiotics without a prescription is not allowed globally, as shown by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefotan,Prescription Antibiotics cannot be sold,"Cefotan is a brand name for cefotetan, a prescription antibiotic. The keyword is flagged because prescription antibiotics cannot be sold without a prescription, a rule that applies worldwide, as indicated by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefotaxime,Prescription Antibiotics cannot be sold,"Cefotaxime is a prescription antibiotic used to treat bacterial infections. It is flagged because selling prescription antibiotics without a prescription is prohibited globally, as denoted by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefotaxime/Claforan,Prescription Antibiotics cannot be sold,"Cefotaxime, marketed under the brand name Claforan, is a prescription antibiotic. The keyword is flagged due to the global restriction on selling prescription antibiotics without a prescription, as indicated by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefotetan,Prescription Antibiotics cannot be sold,"Cefotetan is a prescription antibiotic. It is flagged because selling prescription antibiotics without a prescription is not allowed globally, as shown by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefotetan/Cefotan,Prescription Antibiotics cannot be sold,"Cefotetan, also known by the brand name Cefotan, is a prescription antibiotic. The keyword is flagged due to the global restriction on selling prescription antibiotics without a prescription, as indicated by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefovecin,Prescription Antibiotics cannot be sold,"Cefovecin is a prescription antibiotic used in veterinary medicine. It is flagged because selling prescription antibiotics without a prescription is prohibited worldwide, as denoted by 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefoxazole,Prescription Antibiotics cannot be sold,"Cefoxazole is flagged because it is a prescription antibiotic, which cannot be sold without a prescription. This restriction applies universally, as indicated by the 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefoxitin,Prescription Antibiotics cannot be sold,"Cefoxitin is a prescription antibiotic, and its sale is restricted to prevent misuse and ensure it is used under medical supervision. This restriction is applicable globally.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefoxitin/Mefoxin,Prescription Antibiotics cannot be sold,"The combination Cefoxitin/Mefoxin is flagged for the same reason as Cefoxitin alone. It is a prescription antibiotic, and its sale is restricted worldwide.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefozopran,Prescription Antibiotics cannot be sold,"Cefozopran is another prescription antibiotic that cannot be sold without a prescription. This restriction is in place to control its distribution and use, applicable in all regions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefpimizole,Prescription Antibiotics cannot be sold,"Cefpimizole is flagged due to its classification as a prescription antibiotic, which requires medical oversight for its use. This restriction is universal.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefpirome,Prescription Antibiotics cannot be sold,"Cefpirome is a prescription antibiotic, and its sale is restricted to ensure it is used appropriately under medical guidance. This restriction is applicable globally.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefpirome/Cefrom,Prescription Antibiotics cannot be sold,"The combination Cefpirome/Cefrom is flagged for the same reason as Cefpirome alone. It is a prescription antibiotic, and its sale is restricted worldwide.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefpodoxime,Prescription Antibiotics cannot be sold,"Cefpodoxime is a prescription antibiotic, and its sale is restricted to prevent misuse and ensure it is used under medical supervision. This restriction is applicable globally.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefpodoxime/Vantin,Prescription Antibiotics cannot be sold,"The combination Cefpodoxime/Vantin is flagged for the same reason as Cefpodoxime alone. It is a prescription antibiotic, and its sale is restricted worldwide.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefprozil,Prescription Antibiotics cannot be sold,"Cefprozil is flagged because it is a prescription antibiotic, which cannot be sold without a prescription. This restriction applies universally, as indicated by the 'Country Code: ALL'.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefprozil/Cefzil,Prescription Antibiotics cannot be sold,"Cefprozil, also known as Cefzil, is a second-generation cephalosporin antibiotic used to treat bacterial infections. It is flagged because it is a prescription-only medication, and selling it without a prescription is prohibited in most regions.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefquinome,Prescription Antibiotics cannot be sold,"Cefquinome is a fourth-generation cephalosporin antibiotic primarily used in veterinary medicine. It is flagged due to its prescription-only status, restricting its sale to authorized veterinary professionals.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefradine,Prescription Antibiotics cannot be sold,"Cefradine is a first-generation cephalosporin antibiotic used to treat various bacterial infections. It is flagged because it requires a prescription for legal sale, ensuring its use is monitored by healthcare professionals.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefradine/Velosef,Prescription Antibiotics cannot be sold,"Cefradine, marketed as Velosef, is flagged for the same reasons as Cefradine alone. It is a prescription-only antibiotic, and its sale is restricted to prevent misuse and resistance.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefrom,Prescription Antibiotics cannot be sold,"Cefrom is a brand name for cefpirome, a fourth-generation cephalosporin antibiotic. It is flagged due to its prescription-only status, ensuring it is used appropriately under medical supervision.",ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
Cefrotil,Prescription Antibiotics cannot be sold,Cefrotil is a cephalosporin antibiotic that requires a prescription for legal sale. It is flagged to prevent unauthorized distribution and ensure patient safety.,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL,ALL
